交易时间,公众账号ID,商户号,子商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,总金额,企业红包金额,微信退款单号,商户退款单号,退款金额,企业红包退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率
`2016-05-01 00:01:08,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4001472001201605015389202188,`2016050100010307721,`oJv3bwnIb7ZFCX9WKs3U8eJGeWd4,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:01:20,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4006772001201605015389202591,`2016050100010307722,`oJv3bwsHShP97kqKOqhjwH8oC9gc,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:01:25,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4003662001201605015389205155,`2016050100010707723,`oJv3bwr576tjsGoHHqcE6VexErt4,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:01:14,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4007492001201605015389206473,`2016050100010707724,`oJv3bwgfFNAruEmJ7bS-nHAyVUQk,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:04:16,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4006332001201605015389236167,`2016050100041107732,`oJv3bwiCKSvQLgxYtBLNyoaMHAgo,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:03:48,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4005812001201605015389236620,`2016050100034007729,`oJv3bwmeFc_pIEKi1dVOe-Nikbas,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:04:10,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4003152001201605015389240416,`2016050100035307731,`oJv3bwoicSZARpdxNeTF7fQst6Aw,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错了性别，不错爱,`paytest,`0.08000,`2.00%
`2016-05-01 00:04:53,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4003412001201605015389244747,`2016050100044707735,`oJv3bwiGgkL7l4-mVmSkcCcHHHsg,`JSAPI,`SUCCESS,`BOC_DEBIT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:05:41,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4008942001201605015389252703,`2016050100052607738,`oJv3bwtYGeq_Q7Zg2p2fFegHmwyg,`JSAPI,`SUCCESS,`CCB_CREDIT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:07:02,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4001312001201605015389265495,`2016050100065707746,`oJv3bwtugC7LaliYVzwX0zWnkeOs,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:07:26,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4007252001201605015389270483,`2016050100070607747,`oJv3bwhV3oCNSIvbZ2uU5r3w3E3s,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
